,ds,y
290,2010-10-18,125
291,2010-10-19,155
292,2010-10-20,167
293,2010-10-21,150
294,2010-10-22,149
295,2010-10-23,148
296,2010-10-24,53
297,2010-10-25,83
298,2010-10-26,133
299,2010-10-27,179
300,2010-10-28,150
301,2010-10-29,142
302,2010-10-30,124
303,2010-10-31,115
304,2010-11-01,102
305,2010-11-02,149
306,2010-11-03,163
307,2010-11-04,188
308,2010-11-05,163
309,2010-11-06,147
310,2010-11-07,94
311,2010-11-08,107
312,2010-11-09,169
313,2010-11-10,177
314,2010-11-11,174
315,2010-11-12,133
316,2010-11-13,113
317,2010-11-14,124
318,2010-11-15,112
319,2010-11-16,163
320,2010-11-17,166
321,2010-11-18,156
322,2010-11-19,168
323,2010-11-20,110
324,2010-11-21,117
325,2010-11-22,103
326,2010-11-23,134
327,2010-11-24,110
328,2010-11-25,62
329,2010-11-26,89
330,2010-11-27,89
331,2010-11-28,97
332,2010-11-29,122
333,2010-11-30,152
334,2010-12-01,145
335,2010-12-02,145
336,2010-12-03,129
337,2010-12-04,95
338,2010-12-05,79
339,2010-12-06,114
340,2010-12-07,169
341,2010-12-08,177
342,2010-12-09,179
343,2010-12-10,124
344,2010-12-11,104
345,2010-12-12,100
346,2010-12-13,122
347,2010-12-14,141
348,2010-12-15,137
349,2010-12-16,145
350,2010-12-17,118
351,2010-12-18,74
352,2010-12-19,79
353,2010-12-20,71
354,2010-12-21,109
355,2010-12-22,120
356,2010-12-23,104
357,2010-12-24,75
358,2010-12-25,50
359,2010-12-26,78
360,2010-12-27,100
361,2010-12-28,139
362,2010-12-29,134
363,2010-12-30,122
364,2010-12-31,104
365,2011-01-01,100
366,2011-01-02,82
367,2011-01-03,87
368,2011-01-04,124
369,2011-01-05,178
370,2011-01-06,196
371,2011-01-07,164
372,2011-01-08,122
373,2011-01-09,86
374,2011-01-10,121
375,2011-01-11,159
376,2011-01-12,175
377,2011-01-13,204
378,2011-01-14,133
379,2011-01-15,141
380,2011-01-16,111
381,2011-01-17,106
382,2011-01-18,147
383,2011-01-19,165
384,2011-01-20,149
385,2011-01-21,170
386,2011-01-22,114
387,2011-01-23,92
388,2011-01-24,100
389,2011-01-25,150
390,2011-01-26,150
391,2011-01-27,182
392,2011-01-28,143
393,2011-01-29,90
394,2011-01-30,94
395,2011-01-31,109
396,2011-02-01,145
397,2011-02-02,155
398,2011-02-03,174
399,2011-02-04,154
400,2011-02-05,128
401,2011-02-06,95
402,2011-02-07,111
403,2011-02-08,147
404,2011-02-09,170
405,2011-02-10,174
406,2011-02-11,126
407,2011-02-12,99
408,2011-02-13,96
409,2011-02-14,87
410,2011-02-15,145
411,2011-02-16,147
412,2011-02-17,142
413,2011-02-18,122
414,2011-02-19,113
415,2011-02-20,95
416,2011-02-21,118
417,2011-02-22,137
418,2011-02-23,156
419,2011-02-24,166
420,2011-02-25,103
421,2011-02-26,105
422,2011-02-27,73
423,2011-02-28,112
424,2011-03-01,160
425,2011-03-02,167
426,2011-03-03,194
427,2011-03-04,162
428,2011-03-05,104
429,2011-03-06,107
430,2011-03-07,121
431,2011-03-08,162
432,2011-03-09,219
433,2011-03-10,194
434,2011-03-11,202
435,2011-03-12,124
436,2011-03-13,106
437,2011-03-14,117
438,2011-03-15,130
439,2011-03-16,192
440,2011-03-17,189
441,2011-03-18,154
442,2011-03-19,112
443,2011-03-20,77
444,2011-03-21,84
445,2011-03-22,151
446,2011-03-23,145
447,2011-03-24,154
448,2011-03-25,141
449,2011-03-26,121
450,2011-03-27,115
451,2011-03-28,110
452,2011-03-29,173
453,2011-03-30,171
454,2011-03-31,188
455,2011-04-01,147
456,2011-04-02,134
457,2011-04-03,113
458,2011-04-04,123
459,2011-04-05,147
460,2011-04-06,198
461,2011-04-07,159
462,2011-04-08,165
463,2011-04-09,126
464,2011-04-10,74
465,2011-04-11,115
466,2011-04-12,145
467,2011-04-13,150
468,2011-04-14,154
469,2011-04-15,121
470,2011-04-16,77
471,2011-04-17,108
472,2011-04-18,90
473,2011-04-19,138
474,2011-04-20,201
475,2011-04-21,132
476,2011-04-22,130
477,2011-04-23,110
478,2011-04-24,89
479,2011-04-25,107
480,2011-04-26,135
481,2011-04-27,140
482,2011-04-28,169
483,2011-04-29,143
484,2011-04-30,125
485,2011-05-01,143
486,2011-05-02,124
487,2011-05-03,141
488,2011-05-04,171
489,2011-05-05,191
490,2011-05-06,169
491,2011-05-07,110
492,2011-05-08,106
493,2011-05-09,95
494,2011-05-10,124
495,2011-05-11,165
496,2011-05-12,208
497,2011-05-13,147
498,2011-05-14,114
499,2011-05-15,105
500,2011-05-16,101
501,2011-05-17,147
502,2011-05-18,176
503,2011-05-19,155
504,2011-05-20,132
505,2011-05-21,93
506,2011-05-22,90
507,2011-05-23,121
508,2011-05-24,151
